Applicant,Edu_Parent1,Edu_Parent2,Sex,White,Asian,HSGPA,SAT_ACT,College,Admitted,Enrolled,College_GPA
3,7,7,M,1,0,4.25,1340,Arts & Letters,Yes,No,
10,6,6,M,0,1,3.75,1510,Arts & Letters,Yes,No,
27,6,7,F,0,1,4.05,1360,Arts & Letters,Yes,No,
38,6,6,F,0,0,4.32,1300,Arts & Letters,Yes,No,
41,6,4,F,1,0,4.27,1150,Arts & Letters,Yes,No,
43,7,7,M,1,0,4,1250,Arts & Letters,Yes,No,
54,6,4,F,0,0,3.69,1190,Arts & Letters,Yes,No,
71,7,7,F,1,0,3.56,1280,Arts & Letters,Yes,Yes,2.564
75,7,7,F,1,0,3.86,1350,Arts & Letters,Yes,No,
82,6,6,F,1,0,3.83,1250,Arts & Letters,Yes,No,
83,6,6,F,1,0,4.05,1300,Arts & Letters,Yes,No,
86,7,7,F,0,0,3.36,1130,Arts & Letters,Yes,Yes,3.058
101,6,6,F,1,0,4.33,1450,Arts & Letters,Yes,No,
104,6,7,F,1,0,4.04,1270,Arts & Letters,Yes,No,
119,6,6,F,1,0,3.83,1240,Arts & Letters,Yes,Yes,3.926
136,6,7,F,0,0,3.87,1170,Arts & Letters,Yes,Yes,2.733
144,7,7,M,1,0,3.92,1200,Arts & Letters,Yes,No,
160,7,7,F,1,0,4.04,1450,Arts & Letters,Yes,No,
166,7,7,F,1,0,3.59,950,Arts & Letters,Yes,Yes,2.255
168,6,6,M,1,0,4.23,1400,Arts & Letters,Yes,No,
172,7,6,F,1,0,4.27,1140,Arts & Letters,Yes,Yes,3.386
177,7,7,F,1,0,4.11,1300,Arts & Letters,Yes,No,
178,6,6,M,0,1,4,1250,Arts & Letters,Yes,Yes,3.296
187,4,6,M,1,0,3.5,1530,Arts & Letters,Yes,No,
189,6,6,M,1,0,3.67,1190,Arts & Letters,Yes,No,
190,6,6,F,0,0,4.09,1190,Arts & Letters,Yes,No,
193,7,7,M,1,0,3.9,1240,Arts & Letters,Yes,No,
197,7,7,F,1,0,4.12,1290,Arts & Letters,Yes,No,
225,3,7,M,0,0,3.58,1300,Arts & Letters,Yes,No,
228,7,4,F,1,0,4.3,1500,Arts & Letters,Yes,No,
237,6,6,F,1,0,3.95,1230,Arts & Letters,Yes,No,
238,7,6,F,1,0,3.8,1210,Arts & Letters,Yes,Yes,3.128
240,4,4,F,1,0,3.95,1340,Arts & Letters,Yes,Yes,3.58
243,6,4,F,0,0,4,1170,Arts & Letters,Yes,No,
250,7,4,F,0,0,3.58,1200,Arts & Letters,Yes,Yes,3.08
263,6,6,F,1,0,4,1210,Arts & Letters,Yes,Yes,3.176
285,7,7,F,0,0,3.96,1240,Arts & Letters,Yes,Yes,2.988
293,3,6,F,0,1,3.75,1370,Arts & Letters,Yes,Yes,3.467
295,4,6,M,1,0,4.36,1390,Arts & Letters,Yes,No,
303,6,7,F,0,1,4.4,1340,Arts & Letters,Yes,No,
308,6,6,F,0,0,4.13,1200,Arts & Letters,Yes,No,
324,3,4,F,0,0,3.96,980,Arts & Letters,Yes,No,
350,6,6,M,1,0,3.86,1250,Arts & Letters,Yes,Yes,3.503
367,3,3,F,0,0,3.54,1020,Arts & Letters,Yes,Yes,3.395
369,7,6,F,0,0,3.64,1340,Arts & Letters,Yes,No,
395,6,4,M,1,0,4.06,1540,Arts & Letters,Yes,No,
429,6,4,M,1,0,4.23,1260,Arts & Letters,Yes,Yes,3.351
432,4,6,F,1,0,4.09,1130,Arts & Letters,Yes,Yes,3.699
440,7,7,F,1,0,4.27,1260,Arts & Letters,Yes,Yes,4
454,7,7,F,1,0,4.05,1310,Arts & Letters,Yes,Yes,3.878
457,3,6,F,1,0,3.88,1140,Arts & Letters,Yes,Yes,3.374
478,7,6,F,1,0,4.2,1440,Arts & Letters,Yes,No,
490,3,6,F,1,0,3.59,1180,Arts & Letters,Yes,Yes,2.854
531,6,6,F,1,0,4.33,1460,Arts & Letters,Yes,No,
547,5,6,F,0,1,4,1100,Arts & Letters,Yes,No,
555,6,6,F,1,0,4.04,1320,Arts & Letters,Yes,No,
557,7,6,F,0,0,4.22,1200,Arts & Letters,Yes,No,
559,4,7,F,1,0,3.91,1190,Arts & Letters,Yes,Yes,2.686
567,5,6,F,0,0,3.95,1110,Arts & Letters,Yes,Yes,3.036
580,6,4,M,1,0,3.76,1260,Arts & Letters,Yes,No,
584,7,7,M,1,0,3.64,1230,Arts & Letters,Yes,Yes,3.347
594,4,7,M,1,0,4.14,1350,Arts & Letters,Yes,No,
607,7,7,M,0,1,3.88,1130,Arts & Letters,Yes,No,
610,7,7,M,1,0,3.73,1520,Arts & Letters,Yes,No,
616,7,7,F,0,0,3.96,1310,Arts & Letters,Yes,No,
621,4,6,F,0,0,3.58,1100,Arts & Letters,Yes,No,
626,2,2,M,0,0,4,950,Arts & Letters,Yes,Yes,3.381
653,6,6,F,1,0,4.12,1190,Arts & Letters,Yes,No,
654,6,6,M,1,0,3.62,1280,Arts & Letters,Yes,Yes,3.362
667,7,7,F,0,0,4.32,1410,Arts & Letters,Yes,No,
669,4,6,F,0,1,4.04,1330,Arts & Letters,Yes,No,
680,2,1,M,0,0,3.86,1090,Arts & Letters,Yes,No,
704,1,1,F,0,0,4.27,1230,Arts & Letters,Yes,No,
739,7,7,F,1,0,3.73,1110,Arts & Letters,Yes,No,
745,5,7,M,1,0,3.6,1390,Arts & Letters,Yes,Yes,3.817
750,6,6,M,0,0,3.58,1330,Arts & Letters,Yes,No,
761,7,7,M,1,0,2.82,1380,Arts & Letters,Yes,Yes,2.719
784,6,6,F,1,0,4.17,1430,Arts & Letters,Yes,Yes,3.932
787,4,4,F,1,0,4.29,1150,Arts & Letters,Yes,No,
794,6,6,M,1,0,3.5,1240,Arts & Letters,Yes,Yes,3.331
823,5,3,F,1,0,4.17,1080,Arts & Letters,Yes,Yes,3.478
833,7,6,F,1,0,4.27,1560,Arts & Letters,Yes,No,
856,4,6,F,1,0,3.33,1070,Arts & Letters,Yes,No,
876,7,6,F,1,0,3.65,1130,Arts & Letters,Yes,No,
883,7,6,F,1,0,3.96,1310,Arts & Letters,Yes,No,
896,6,7,M,1,0,4,1320,Arts & Letters,Yes,Yes,2.881
899,7,6,F,1,0,4.15,1320,Arts & Letters,Yes,No,
907,6,5,M,1,0,3.36,1300,Arts & Letters,Yes,Yes,2.886
912,6,6,F,1,0,3.52,1130,Arts & Letters,Yes,Yes,3.511
920,4,6,F,1,0,4.12,1400,Arts & Letters,Yes,Yes,3.298
922,6,6,M,1,0,4,1220,Arts & Letters,Yes,Yes,3.618
927,6,7,F,1,0,3.88,1190,Arts & Letters,Yes,Yes,3.479
947,7,6,F,1,0,4,1100,Arts & Letters,Yes,No,
954,6,7,F,0,0,4.27,1190,Arts & Letters,Yes,No,
960,6,6,F,1,0,3.86,1170,Arts & Letters,Yes,Yes,3.664
977,7,5,F,1,0,4,1110,Arts & Letters,Yes,No,
981,7,6,F,1,0,3.29,1470,Arts & Letters,Yes,No,
1014,6,5,F,1,0,4.2,1330,Arts & Letters,Yes,No,
1015,6,7,F,0,0,3.92,1280,Arts & Letters,Yes,No,
1016,7,7,F,1,0,3.69,1360,Arts & Letters,Yes,No,
1025,6,6,F,1,0,3.95,1350,Arts & Letters,Yes,No,
